Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others",How much of your time would you have preferred to work remotely last year?,"Thinking about your current job, how much of your time did you spend remote working in the last 3 months?","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others",How much of your time would you have preferred to work remotely in the last 3 months?,"Imagine that COVID-19 is cured or eradicated. Going forward, how much of your time would you prefer to work remotely?",Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - My employer would encourage more remote working,Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - My employer would make changes to support remote working,Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - I would have more choice about whether I work remotely,"This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.  
Please compare your productivity when you work remotely to when you work at your employers workplace.  
Roughly how productive are you, each hour, when you work remotely?","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Working","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Personal and family time","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Caring and domestic responsibilities","On a day when you do remote work, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you do remote work, how many hours would you spend doing the following activities? - Working","On a day when you do remote work, how many hours would you spend doing the following activities? - Personal and family time","On a day when you do remote work, how many hours would you spend doing the following activities? - Caring and domestic responsibilities","From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities","From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities","From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Cyber security ; Lack of motivation ; Lack of motivation","From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Cyber security ; Lack of motivation ; Lack of motivation","From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Cyber security ; Lack of motivation ; Lack of motivation","From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Cyber security ; Lack of motivation ; Lack of motivation","From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the most significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the least significant barrier to doing your work remotely - IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the most significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the least significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely","From the following, please select the most significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the least significant barrier to doing your work remotely - Cyber security ; Lack of motivation ; Lack of motivation ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the most significant barrier to doing your work remotely - My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working","From the following, please select the least significant barrier to doing your work remotely - My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely ; Lack of remote working skills ; My living situation (e.g. location, home size, who I live with) ; Management discourages remote working",Compare remote working to working at your employers workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities,Compare remote working to working at your employers workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities,Compare remote working to working at your employers workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,Compare remote working to working at your employers workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,Compare remote working to working at your employers workplace. Select the best aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employers workplace. Select the worst aspect of remote working for you - Managing my family responsibilities ; My working relationships ; Preparing for work and commuting ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employers workplace. Select the best aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,Compare remote working to working at your employers workplace. Select the worst aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing,Compare remote working to working at your employers workplace. Select the best aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employers workplace. Select the worst aspect of remote working for you - The number of hours  I work ; My work-life balance ; My on-the-job learning opportunities ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employers workplace. Select the best aspect of remote working for you - Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing ; My daily expenses ; My personal relationships ; My job satisfaction,Compare remote working to working at your employers workplace. Select the worst aspect of remote working for you - Managing my personal commitments ; My opportunities to socialise ; My mental wellbeing ; My daily expenses ; My personal relationships ; My job satisfaction
1,1972,Feminino,Manufacturing,Food Product Manufacturing,Clerical and administrative ,Other Clerical and Administrative ,Entre 20 e 199,Não,Casal sem filhos dependentes,More than 5 years,Regional,Rarely or never ,,,,,,,I would not have preferred to work remotely ,90%,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,80%,90%,Discordo em parte,Discordo em parte,Discordo totalmente,Im 50% more productive when working remotely (or more),2,8,2,2,0.5,8.0,3.5,2.0,Dificuldade em colaborar remotamente,Conectividade (conexão à internet),Conectividade (conexão à internet),Segurança cibernética,Tenho tarefas que não podem ser feitas remotamente,"Meu espaço de trabalho (ex. cadeira adequada, iluminação, níveis de ruído, instalações)",Conectividade (conexão à internet),"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Falta de motivação,Segurança cibernética,Tenho tarefas que não podem ser feitas remotamente,Responsabilidades de cuidado,Dificuldade em colaborar remotamente,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",A gestão desencoraja o trabalho remoto,Segurança cibernética,Falta de motivação,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Segurança cibernética,"Meu espaço de trabalho (ex. cadeira adequada, iluminação, níveis de ruído, instalações)",Preparação para o trabalho e deslocamento,Meus relacionamentos de trabalho,Gestão de meus compromissos pessoais,Minhas oportunidades de socializar,Preparação para o trabalho e deslocamento,Meus relacionamentos de trabalho,Gestão de meus compromissos pessoais,O número de horas que trabalho,Minha satisfação no trabalho,O número de horas que trabalho,Gestão de meus compromissos pessoais,Minhas oportunidades de socializar
2,1972,Masculino,Wholesale Trade,Other Goods Wholesaling,Managers,"Chief Executives, General Managers and Legislators",Entre 1 e 4,Sim,Casal com filhos dependentes,More than 5 years,Metropolitana,20%,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,20%,20%,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,20%,20%,Concordo em parte,Concordo em parte,Concordo em parte,Im 20% less productive when working remotely,2,7,3,3,0.0,7.0,3.0,3.0,"Equipamento de TI (computador, impressora, etc.)",Sentimento de exclusão e/ou isolamento,Conectividade (conexão à internet),Sentimento de exclusão e/ou isolamento,Tenho tarefas que não podem ser feitas remotamente,Sentimento de exclusão e/ou isolamento,Conectividade (conexão à internet),Sentimento de exclusão e/ou isolamento,"Equipamento de TI (computador, impressora, etc.)",Dificuldade em colaborar remotamente,Responsabilidades de cuidado,"Equipamento de TI (computador, impressora, etc.)","Equipamento de TI (computador, impressora, etc.)",Dificuldade em colaborar remotamente,A gestão desencoraja o trabalho remoto,Falta de motivação,"Meu espaço de trabalho (ex. cadeira adequada, iluminação, níveis de ruído, instalações)",Falta de motivação,Falta de motivação,A gestão desencoraja o trabalho remoto,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Preparação para o trabalho e deslocamento,Meus relacionamentos de trabalho,Preparação para o trabalho e deslocamento,Meus relacionamentos de trabalho,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Meus relacionamentos pessoais,Minhas oportunidades de socializar
3,1982,Masculino,"Electricity, Gas, Water and Waste Services",Gas Supply,Managers,"Chief Executives, General Managers and Legislators",More than 200,Sim,One  parent family with dependent children,More than 5 years,Metropolitana,60%,Concordo em parte,Concordo em parte,Nem concordo nem discordo,Concordo em parte,Nem concordo nem discordo,Nem concordo nem discordo,50% - Cerca de metade do meu tempo,50% - Passei cerca de metade do meu tempo trabalhando remotamente,Nem concordo nem discordo,Concordo em parte,Concordo em parte,Nem concordo nem discordo,Concordo em parte,Nem concordo nem discordo,60%,60%,Concordo em parte,Concordo em parte,Concordo em parte,Im 10% less productive when working remotely,6,1,6,5,5.0,2.0,7.0,7.0,Dificuldade em colaborar remotamente,Responsabilidades de cuidado,Gestão inadequada,Falta de motivação,Gestão inadequada,Conectividade (conexão à internet),Gestão inadequada,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Responsabilidades de cuidado,Falta de motivação,Software e sistemas da minha organização,Tenho tarefas que não podem ser feitas remotamente,Falta de habilidades de trabalho remoto,Responsabilidades de cuidado,Falta de habilidades de trabalho remoto,Tenho tarefas que não podem ser feitas remotamente,Software e sistemas da minha organização,Falta de motivação,Falta de habilidades de trabalho remoto,Software e sistemas da minha organização,O número de horas que trabalho,Preparação para o trabalho e deslocamento,Gestão de meus compromissos pessoais,Preparação para o trabalho e deslocamento,Preparação para o trabalho e deslocamento,Gestão de minhas responsabilidades familiares,O número de horas que trabalho,Meu bem-estar mental,O número de horas que trabalho,Minhas despesas diárias,Meu bem-estar mental,Minhas despesas diárias
4,1987,Feminino,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,Entre 20 e 199,Não,Casal com filhos dependentes,Between 1 and 5 years,Metropolitana,20%,Discordo totalmente,Concordo em parte,Discordo em parte,Discordo em parte,Concordo em parte,Concordo em parte,50% - Cerca de metade do meu tempo,100% - I spent all of my time remote working,Concordo totalmente,Discordo em parte,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo totalmente,100% - Todo o meu tempo,100% - Todo o meu tempo,Concordo em parte,Concordo totalmente,Concordo em parte,Minha produtividade é aproximadamente a mesma quando trabalho remotamente,1,9,1,2,0.0,9.0,3.0,2.0,Sentimento de exclusão e/ou isolamento,Dificuldade em colaborar remotamente,Segurança cibernética,Falta de motivação,"Meu espaço de trabalho (ex. cadeira adequada, iluminação, níveis de ruído, instalações)",Software e sistemas da minha organização,Sentimento de exclusão e/ou isolamento,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Falta de motivação,Falta de motivação,"Meu espaço de trabalho (ex. cadeira adequada, iluminação, níveis de ruído, instalações)",Dificuldade em colaborar remotamente,"Equipamento de TI (computador, impressora, etc.)",Falta de habilidades de trabalho remoto,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Falta de motivação,Falta de motivação,Falta de habilidades de trabalho remoto,Falta de motivação,Falta de habilidades de trabalho remoto,Meu equilíbrio vida-trabalho,Gestão de minhas responsabilidades familiares,Preparação para o trabalho e deslocamento,Minhas oportunidades de socializar,Meus relacionamentos pessoais,Meus relacionamentos de trabalho,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Meus relacionamentos pessoais,Minha satisfação no trabalho
5,1991,Masculino,"Transport, Postal and Warehousing",Other Transport,Managers,Specialist Managers,Entre 5 e 19,Sim,Casal sem filhos dependentes,More than 5 years,Metropolitana,Menos de 10% do meu tempo,Discordo totalmente,Concordo em parte,Discordo em parte,Discordo totalmente,Concordo totalmente,Concordo em parte,60%,90%,Discordo em parte,Concordo em parte,Concordo totalmente,Discordo em parte,Concordo em parte,Concordo totalmente,100% - Todo o meu tempo,60%,Discordo totalmente,Discordo totalmente,Discordo totalmente,Im 20% more productive when working remotely,1,8,13,2,0.0,6.0,15.0,3.0,Gestão inadequada,Dificuldade em colaborar remotamente,Gestão inadequada,Conectividade (conexão à internet),Gestão inadequada,Conectividade (conexão à internet),Gestão inadequada,Conectividade (conexão à internet),Responsabilidades de cuidado,Falta de motivação,"Equipamento de TI (computador, impressora, etc.)",Responsabilidades de cuidado,A gestão desencoraja o trabalho remoto,Dificuldade em colaborar remotamente,Falta de habilidades de trabalho remoto,Falta de motivação,Tenho tarefas que não podem ser feitas remotamente,Falta de motivação,A gestão desencoraja o trabalho remoto,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Preparação para o trabalho e deslocamento,Minhas oportunidades de aprendizado no trabalho,Gestão de meus compromissos pessoais,Meus relacionamentos de trabalho,Preparação para o trabalho e deslocamento,Minhas despesas diárias,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Minhas oportunidades de socializar,Minha satisfação no trabalho
6,1989,Masculino,Retail Trade,Food Retailing,Sales ,Sales Support ,Entre 20 e 199,Não,Single person,Between 1 and 5 years,Metropolitana,Menos de 10% do meu tempo,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo totalmente,40%,70%,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,50% - Cerca de metade do meu tempo,50% - Cerca de metade do meu tempo,Concordo em parte,Concordo em parte,Concordo em parte,Minha produtividade é aproximadamente a mesma quando trabalho remotamente,1,8,2,2,0.0,7.0,3.0,3.0,Sentimento de exclusão e/ou isolamento,Responsabilidades de cuidado,Sentimento de exclusão e/ou isolamento,Conectividade (conexão à internet),Gestão inadequada,Tenho tarefas que não podem ser feitas remotamente,Gestão inadequada,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Falta de motivação,"Equipamento de TI (computador, impressora, etc.)",Dificuldade em colaborar remotamente,"Meu espaço de trabalho (ex. cadeira adequada, iluminação, níveis de ruído, instalações)",Dificuldade em colaborar remotamente,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Dificuldade em colaborar remotamente,Falta de motivação,Falta de motivação,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",A gestão desencoraja o trabalho remoto,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Preparação para o trabalho e deslocamento,Minhas oportunidades de aprendizado no trabalho,Preparação para o trabalho e deslocamento,Meus relacionamentos de trabalho,Preparação para o trabalho e deslocamento,Minha satisfação no trabalho,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Meu equilíbrio vida-trabalho,Minhas oportunidades de aprendizado no trabalho,Meu bem-estar mental,Minha satisfação no trabalho
7,1973,Masculino,Financial and Insurance Services,Finance,Clerical and administrative ,General Clerical ,More than 200,Não,Casal com filhos dependentes,More than 5 years,Metropolitana,Rarely or never ,,,,,,,70%,100% - I spent all of my time remote working,Concordo totalmente,Concordo em parte,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,100% - Todo o meu tempo,90%,Concordo em parte,Concordo totalmente,Concordo totalmente,Im 50% more productive when working remotely (or more),2,8,4,1,0.0,8.0,5.0,3.0,Gestão inadequada,Sentimento de exclusão e/ou isolamento,Conectividade (conexão à internet),Falta de motivação,Gestão inadequada,Sentimento de exclusão e/ou isolamento,A gestão desencoraja o trabalho remoto,Sentimento de exclusão e/ou isolamento,Segurança cibernética,"Equipamento de TI (computador, impressora, etc.)",Software e sistemas da minha organização,"Equipamento de TI (computador, impressora, etc.)",A gestão desencoraja o trabalho remoto,"Equipamento de TI (computador, impressora, etc.)",Falta de habilidades de trabalho remoto,Falta de motivação,Tenho tarefas que não podem ser feitas remotamente,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",A gestão desencoraja o trabalho remoto,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Minhas oportunidades de aprendizado no trabalho,Preparação para o trabalho e deslocamento,Minhas oportunidades de socializar,Preparação para o trabalho e deslocamento,Minhas despesas diárias,Meus relacionamentos de trabalho,Meu equilíbrio vida-trabalho,O número de horas que trabalho,Minhas despesas diárias,O número de horas que trabalho,Minhas despesas diárias,Gestão de meus compromissos pessoais
8,1992,Masculino,Manufacturing,Polymer Product and Rubber Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Entre 5 e 19,Sim,Casal com filhos dependentes,Between 6 and 12 months,Metropolitana,80%,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,90%,90%,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,80%,80%,Concordo em parte,Concordo em parte,Concordo totalmente,Im 30% less productive when working remotely,1,8,4,3,0.4,6.0,4.0,6.0,Responsabilidades de cuidado,Conectividade (conexão à internet),Conectividade (conexão à internet),Falta de motivação,Tenho tarefas que não podem ser feitas remotamente,Conectividade (conexão à internet),Gestão inadequada,Conectividade (conexão à internet),Falta de motivação,"Equipamento de TI (computador, impressora, etc.)",Responsabilidades de cuidado,"Equipamento de TI (computador, impressora, etc.)",Dificuldade em colaborar remotamente,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",Responsabilidades de cuidado,Segurança cibernética,Tenho tarefas que não podem ser feitas remotamente,Segurança cibernética,Segurança cibernética,A gestão desencoraja o trabalho remoto,Minhas oportunidades de aprendizado no trabalho,Meu equilíbrio vida-trabalho,Preparação para o trabalho e deslocamento,Gestão de minhas responsabilidades familiares,Minha satisfação no trabalho,Gestão de minhas responsabilidades familiares,Meu bem-estar mental,O número de horas que trabalho,Minha satisfação no trabalho,O número de horas que trabalho,Gestão de meus compromissos pessoais,Minha satisfação no trabalho
9,1977,Masculino,Administrative and Support Services,Administrative Services,Clerical and administrative ,General Clerical ,More than 200,Não,Single person,More than 5 years,Metropolitana,60%,Concordo totalmente,Concordo em parte,Nem concordo nem discordo,Concordo em parte,Concordo em parte,Concordo em parte,60%,60%,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,70%,20%,Nem concordo nem discordo,Nem concordo nem discordo,Discordo em parte,Im 30% more productive when working remotely,0,8,12,4,0.0,8.0,13.0,1.0,Gestão inadequada,Sentimento de exclusão e/ou isolamento,Gestão inadequada,Sentimento de exclusão e/ou isolamento,Gestão inadequada,Sentimento de exclusão e/ou isolamento,Gestão inadequada,Falta de habilidades de trabalho remoto,Responsabilidades de cuidado,Segurança cibernética,"Equipamento de TI (computador, impressora, etc.)",Dificuldade em colaborar remotamente,A gestão desencoraja o trabalho remoto,Falta de habilidades de trabalho remoto,Falta de habilidades de trabalho remoto,Falta de motivação,Tenho tarefas que não podem ser feitas remotamente,Falta de motivação,Segurança cibernética,Tenho tarefas que não podem ser feitas remotamente,Meu equilíbrio vida-trabalho,O número de horas que trabalho,Meu bem-estar mental,Minhas oportunidades de socializar,Minhas despesas diárias,Minha satisfação no trabalho,Meu bem-estar mental,O número de horas que trabalho,Minha satisfação no trabalho,O número de horas que trabalho,Meu bem-estar mental,Gestão de meus compromissos pessoais
10,1985,Masculino,"Electricity, Gas, Water and Waste Services",Gas Supply,Managers,Specialist Managers,More than 200,Não,Group household,More than 5 years,Metropolitana,20%,Discordo em parte,Concordo em parte,Discordo em parte,Nem concordo nem discordo,Concordo em parte,Nem concordo nem discordo,20%,40%,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo totalmente,Nem concordo nem discordo,Nem concordo nem discordo,I would not have preferred to work remotely ,I would prefer not to work remotely ,Concordo em parte,Concordo em parte,Concordo em parte,Im 20% less productive when working remotely,3,8.5,4,2,1.0,8.5,6.0,2.0,Sentimento de exclusão e/ou isolamento,Gestão inadequada,Falta de motivação,Gestão inadequada,Sentimento de exclusão e/ou isolamento,Gestão inadequada,Sentimento de exclusão e/ou isolamento,Gestão inadequada,Falta de motivação,Dificuldade em colaborar remotamente,"Meu espaço de trabalho (ex. cadeira adequada, iluminação, níveis de ruído, instalações)",Responsabilidades de cuidado,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",A gestão desencoraja o trabalho remoto,Dificuldade em colaborar remotamente,"Meu espaço de trabalho (ex. cadeira adequada, iluminação, níveis de ruído, instalações)",Falta de motivação,A gestão desencoraja o trabalho remoto,"Minha situação de vida (ex. localização, tamanho da casa, com quem vivo)",A gestão desencoraja o trabalho remoto,Preparação para o trabalho e deslocamento,Meus relacionamentos de trabalho,Preparação para o trabalho e deslocamento,Meus relacionamentos de trabalho,Preparação para o trabalho e deslocamento,Meus relacionamentos de trabalho,Gestão de meus compromissos pessoais,Minhas oportunidades de socializar,Minhas despesas diárias,Minha satisfação no trabalho,Minhas despesas diárias,Minhas oportunidades de socializar
